id_nspn,date_homework,event,ppq_01_quality_time,ppq_02_attend_school,ppq_03_affection,ppq_04_get_me,ppq_05_comforted,ppq_06_angry_listen,ppq_07_praised,ppq_08_ideas_encouraged,ppq_09_priority,ppq_10_loved,ppq_11_listened_to,ppq_12_contact,ppq_13_home_safe,ppq_14_opinions_valued,ppq_15_talked_important,ppq_16_privacy_respected,ppq_17_friends_welcomed,ppq_18_clothes,ppq_19_pocket_money,ppq_20_ask,ppq_21_achieve,ppq_22_cared_unwell,ppq_23_skills,ppq_24_advice,ppq_25_learn_school,ppq_26_progress,ppq_positive_parenti_v_16
10356,08/07/2014,Home Questionnaire Pack 2,Mostly,Mostly,Mostly,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Mostly,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Mostly,Sometimes,Always,Always,Sometimes,Mostly,Always,Always,Complete
10356,18/07/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10364,19/12/2012,Home Questionnaire Pack 1,Mostly,Always,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Complete
10364,10/12/2013,Home Questionnaire Pack 2,Mostly,Always,Always,Always,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10364,28/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447,19/12/2012,Home Questionnaire Pack 1,Sometimes,Sometimes,Rarely,Mostly,Mostly,Sometimes,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Mostly,Always,Complete
10447,10/12/2013,Home Questionnaire Pack 2,Sometimes,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Always,Always,Complete
10447,02/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10455,03/02/2013,Home Questionnaire Pack 1,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Mostly,Sometimes,Rarely,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Mostly,Mostly,Complete
10455,13/01/2014,Home Questionnaire Pack 2,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Always,Rarely,Rarely,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Always,Always,Mostly,Mostly,Always,Mostly,Complete
